l,TT
2,977.3831277700126
3,925.4378221453654
4,874.924963104866
5,836.6132776316088
6,809.842787827266
7,792.296895083609
8,781.3231147680112
9,775.6027841786852
10,773.7867970775433
11,774.5775243914493
12,778.5852175453214
13,783.8970468028734
14,790.4118042384629
15,797.1084971129021
16,805.6404877962141
17,815.8446039813616
18,826.6026686710895
19,838.6885195941252
20,850.501645759634
21,862.7425765692651
22,875.4378929130575
23,888.1857765673082
24,901.2931266588747
25,914.9056407557531
26,928.5461221010338
27,942.6160444156405
28,956.9365986232784
29,971.4347883400568
30,986.3136501408763
31,1000.9694487983029
32,1016.2076350797857
33,1031.4996907474604
34,1046.824375689874
35,1062.760182795491
36,1078.4020949995092
37,1094.2670832836072
38,1110.4556891653801
39,1126.8778026612595
40,1143.4643638990672
41,1160.1383074553619
42,1176.901968026303
43,1193.7645313093954
44,1210.7723254702835
45,1227.9865359946268
46,1245.3712549958777
47,1262.9107587073916
48,1280.581369963527
49,1298.3742684612046
50,1316.347489085583
51,1334.5617299080943
52,1352.9620599387915
53,1371.4739260636434
54,1390.0747731394906
55,1408.7569021162894
56,1427.6299140609729
57,1446.7971981652668
58,1466.2194512474139
59,1485.8127989554182
60,1505.5602209217768
61,1525.471331117328
62,1545.5508593062386
63,1565.8153127375094
64,1586.266340487214
65,1606.9278751597767
66,1627.8359975937253
67,1648.9713893164776
68,1670.2971666472588
69,1691.7690159503877
70,1713.3574786957201
71,1735.0408081659937
72,1756.932106552229
73,1779.144759586841
74,1801.6881546605803
75,1824.5642494427007
76,1847.7288614733363
77,1871.0572486488293
78,1894.5345242728085
79,1918.2052274403702
80,1942.0916112947784
81,1966.2182339342887
82,1990.596590703813
83,2015.2033403962898
84,2040.0374264407897
85,2065.090363630045
86,2090.3580394452515
87,2115.809262619501
88,2141.424643180279
89,2167.2145047792087
90,2193.1817430615656
91,2219.336288904126
92,2245.679071088877
93,2272.2254821942374
94,2298.9686305194577
95,2325.923910275008
96,2353.0844315613385
97,2380.450733840938
98,2408.0307859997215
99,2435.8028446471308
100,2463.7823093094066
101,2491.962295658112
102,2520.343348931091
103,2548.9111588911323
104,2577.666273225986
105,2606.601812486456
106,2635.710898415668
107,2664.9866539186855
108,2694.4147746729977
109,2724.0032424820024
110,2753.7377551184054
111,2783.611318751253
112,2813.623885141824
113,2843.7678576064172
114,2874.035640201598
115,2904.4196376439672
116,2934.9196835780504
117,2965.528183792359
118,2996.230116135906
119,3027.0253154865027
120,3057.9061886196264
121,3088.8651424813997
122,3119.8871557651796
123,3150.972063894236
124,3182.112273908928
125,3213.292764411528
126,3244.513370569454
127,3275.759070675197
128,3307.022271167056
129,3338.3028066087854
130,3369.5856546286172
131,3400.8560485639555
132,3432.1225303549086
133,3463.364184282954
134,3494.5823795119554
135,3525.7636283811335
136,3556.909299861197
137,3588.0059062191563
138,3619.047388145227
139,3650.0202581383796
140,3680.933314002748
141,3711.7656405000102
142,3742.511179563025
143,3773.1713020649104
144,3803.725094543715
145,3834.1739294349336
146,3864.489466755176
147,3894.665652692629
148,3924.689006347005
149,3954.5460482218123
150,3984.2233003663378
151,4013.699663360703
152,4042.9829737891723
153,4072.0585903395468
154,4100.926730490022
155,4129.580185582826
156,4158.026605992513
157,4186.243931134169
158,4214.239816366289
159,4241.999634630214
160,4269.5161899318
161,4296.767432360075
162,4323.746171545785
163,4350.445220005965
164,4376.8425364756495
165,4402.938367678092
166,4428.718106579024
167,4454.174577429324
168,4479.300607393088
169,4504.089026512448
170,4528.532667659093
171,4552.616938122582
172,4576.34953293735
173,4599.708436344963
174,4622.686491798245
175,4645.283973502986
176,4667.486442792136
177,4689.287457678174
178,4710.673291389355
179,4731.645075735877
180,4752.196515911512
181,4772.313890341238
182,4791.998335576065
183,4811.243561083982
184,4830.035849090508
185,4848.376339470027
186,4866.251316186662
187,4883.661920539579
188,4900.601865960183
189,4917.057437864804
190,4933.029778563968
191,4948.512602077017
192,4963.492194005286
193,4977.962268114499
194,4991.931394576373
195,5005.385858118954
196,5018.3267996902605
197,5030.755359681517
198,5042.672677862615
199,5054.05760827888
200,5064.926146012781
201,5075.264440230501
202,5085.065540597828
203,5094.30750754537
204,5102.998114151412
205,5111.107991009266
206,5118.644909760279
207,5125.594356332709
208,5131.949244393232
209,5137.739628807318
210,5142.950993853844
211,5147.591108451758
212,5151.675169540018
213,5155.203517112222
214,5158.183919356576
215,5160.616716047257
216,5162.487390287493
217,5163.796282004127
218,5164.5437313397015
219,5164.722650392599
220,5164.325951654257
221,5163.361404792046
222,5161.814494974655
223,5159.692993043381
224,5157.00467052328
225,5153.749871325945
226,5149.921511792761
227,5145.527365778307
228,5140.567779620928
229,5135.050528852589
230,5128.968533144972
231,5122.329569694409
232,5115.141416492081
233,5107.39699558077
234,5099.096658049386
235,5090.2556123135
236,5080.859353930842
237,5070.930520657526
238,5060.462037187147
239,5049.461685131511
240,5037.929817837634
241,5025.866788594955
242,5013.287807182863
243,5000.19322630769
244,4986.583398133168
245,4972.4735308039335
246,4957.871403211967
247,4942.769936458921
248,4927.191763766817
249,4911.129803483181
250,4894.59925733914
251,4877.592923893821
252,4860.117991311365
253,4842.17410090518
254,4823.775748266179
255,4804.907712983538
256,4785.584485275962
257,4765.81312407787
258,4745.608113586645
259,4724.976506419218
260,4703.940208531208
261,4682.4988373462675
262,4660.6742917511265
263,4638.473610251547
264,4615.903827594235
265,4592.964546352687
266,4569.662793578789
267,4546.013020769163
268,4522.014818796072
269,4497.667774604908
270,4472.978899576563
271,4447.970057904708
272,4422.633396535813
273,4396.9982003769155
274,4371.056608862038
275,4344.8230428357565
276,4318.3193479461215
277,4291.545081348022
278,4264.507225218491
279,4237.220186879883
280,4209.698370580531
281,4181.941320931721
282,4153.963436451449
283,4125.779113010726
284,4097.3878872826235
285,4068.804150294234
286,4040.0348625270085
287,4011.1018391174107
288,3982.0046082531085
289,3952.750124717705
290,3923.3601983798085
291,3893.8417809248035
292,3864.1943943307106
293,3834.432416036409
294,3804.570222349511
295,3774.6073318443287
296,3744.558118850659
297,3714.422100129289
298,3684.221076687903
299,3653.9619920822674
300,3623.651789156616
301,3593.304737660385
302,3562.934703630311
303,3532.548023323957
304,3502.1584606701135
305,3471.779778895561
306,3441.4108837897984
307,3411.072965410313
308,3380.772356274741
309,3350.5153879949735
310,3320.300962851509
311,3290.15769546127
312,3260.077057534883
313,3230.0802329325243
314,3200.173547461213
315,3170.3558971202747
316,3140.6484613952057
317,3111.0575613982146
318,3081.596944810989
319,3052.2655007274816
320,3023.069544601021
321,2994.0376748452722
322,2965.153917587812
323,2936.4468667855267
324,2907.907972292017
325,2879.5583949388615
326,2851.397008022788
327,2823.4375390067207
328,2795.68628443058
329,2768.1495382356275
330,2740.841020102036
331,2713.75959039927
332,2686.91896360249
333,2660.3179949215787
334,2633.970393747029
335,2607.889867009287
336,2582.0752625530527
337,2556.5328542776365
338,2531.2689138908727
339,2506.297139377696
340,2481.6237984316535
341,2457.247728599964
342,2433.175194141436
343,2409.4124578451506
344,2385.9583528597504
345,2362.819139583084
346,2340.0010775096193
347,2317.5029970852183
348,2295.3311566188186
349,2273.4992424985003
350,2252.0060843603865
351,2230.8654031170145
352,2210.083629345795
353,2189.659800294956
354,2169.6003823991146
355,2149.9192714966835
356,2130.6080796418278
357,2111.673277062963
358,2093.121335662565
359,2074.951300859148
360,2057.16222012056
361,2039.760571487086
362,2022.7454070326885
363,2006.130638065551
364,1989.9004651636994
365,1974.0762334510705
366,1958.6495775552744
367,1943.626991804903
368,1929.007545260104
369,1914.790310129527
370,1900.9892185228355
371,1887.5884923866524
372,1874.6020703296188
373,1862.021609179658
374,1849.8536257306362
375,1838.089783323712
376,1826.736605218295
377,1815.8006178498547
378,1805.266065726702
379,1795.1469098194027
380,1785.4422573881016
381,1776.1437902538328
382,1767.2580497636932
383,1758.7841516490778
384,1750.7137859304326
385,1743.0460735195359
386,1735.7875661195562
387,1728.9373894241714
388,1722.479814667736
389,1716.4214002790072
390,1710.7612783858788
391,1705.4985830758014
392,1700.6175936110044
393,1696.132304452339
394,1692.0269983872274
395,1688.3008165696342
396,1684.9529017673897
397,1681.974969969848
398,1679.3735954072647
399,1677.1404971296743
400,1675.2748240491846
401,1673.775861348931
402,1672.6360064155563
403,1671.8552213005826
404,1671.4334696545807
405,1671.3558600787994
406,1671.6223595900296
407,1672.2329369953109
408,1673.1801346277239
409,1674.4490684426476
410,1676.0545698747724
411,1677.9669024500495
412,1680.2009021109359
413,1682.7491221931953
414,1685.6041186114617
415,1688.751021648442
416,1692.204677849097
417,1695.942795013581
418,1699.9727974957032
419,1704.2798278971386
420,1708.8713173133606
421,1713.7324153737707
422,1718.8557037802527
423,1724.2486247896609
424,1729.8963395882718
425,1735.7914418107837
426,1741.933957649494
427,1748.3016325525973
428,1754.9093581146208
429,1761.7274603003393
430,1768.755983011358
431,1775.994974735884
432,1783.4296318850645
433,1791.0674405666334
434,1798.8861781406945
435,1806.893340014117
436,1815.0815695160998
437,1823.443514560359
438,1831.9718275914904
439,1840.6665938664353
440,1849.5130463200956
441,1858.5038505179987
442,1867.6242478437837
443,1876.8743404246297
444,1886.2393775923445
445,1895.7120407844343
446,1905.2850150333038
447,1914.9509887958213
448,1924.7175104745522
449,1934.5698464795248
450,1944.5006944356958
451,1954.5103079319463
452,1964.5994428114716
453,1974.7466970716246
454,1984.9529558102001
455,1995.204249266551
456,2005.4940376657019
457,2015.8157826636932
458,2026.1555187963766
459,2036.4992816333365
460,2046.8628209883054
461,2057.2173172328885
462,2067.5859496738403
463,2077.9398994823086
464,2088.302346439631
465,2098.644471886416
466,2108.9820271393096
467,2119.3010498634867
468,2129.587577360547
469,2139.8425031681436
470,2150.0518635705603
471,2160.2016942233286
472,2170.2928867903765
473,2180.3114754920825
474,2190.25835046749
475,2200.12697269659
476,2209.918230685221
477,2219.6181554095215
478,2229.2350620725556
479,2238.7698367180947
480,2248.2010795535143
481,2257.5445317828835
482,2266.7713637920456
483,2275.889887044918
484,2284.8861273296798
485,2293.746109861247
486,2302.478144386136
487,2311.068255136309
488,2319.5098942855807
489,2327.811370354166
490,2335.9587065094634
491,2343.9527823659446
492,2351.794477328779
493,2359.4846706324083
494,2367.016813022287
495,2374.3843551296004
496,2381.5881758375776
497,2388.614297237587
498,2395.463598027045
499,2402.129528445009
500,2408.6055385976574
501,2414.8850850266886
502,2420.96907882551
503,2426.8510090643017
504,2432.53179281328
505,2438.019775057935
506,2443.3010152011475
507,2448.383857055877
508,2453.261786973514
