l,TT
1.010000000000000000e+02,2.491982872144632893e+03
1.020000000000000000e+02,2.520363842414417832e+03
1.030000000000000000e+02,2.548931552475370609e+03
1.040000000000000000e+02,2.577686549515507068e+03
1.050000000000000000e+02,2.606621953590350586e+03
1.060000000000000000e+02,2.635730885952608787e+03
1.070000000000000000e+02,2.665006469022198871e+03
1.080000000000000000e+02,2.694434397997148153e+03
1.090000000000000000e+02,2.724022654207490632e+03
1.100000000000000000e+02,2.753756934959078535e+03
1.110000000000000000e+02,2.783630245987537819e+03
1.120000000000000000e+02,2.813642538734118716e+03
1.130000000000000000e+02,2.843786216229340880e+03
1.140000000000000000e+02,2.874053682252122599e+03
1.150000000000000000e+02,2.904437341249949441e+03
1.160000000000000000e+02,2.934937026607156895e+03
1.170000000000000000e+02,2.965545143861369070e+03
1.180000000000000000e+02,2.996246670620396799e+03
1.190000000000000000e+02,3.027041441530904649e+03
1.200000000000000000e+02,3.057921863147639215e+03
1.210000000000000000e+02,3.088880342206760815e+03
1.220000000000000000e+02,3.119901857202778956e+03
1.230000000000000000e+02,3.150986243371560704e+03
1.240000000000000000e+02,3.182125907577839826e+03
1.250000000000000000e+02,3.213305828260342423e+03
1.260000000000000000e+02,3.244525840435334885e+03
1.270000000000000000e+02,3.275770922256835092e+03
1.280000000000000000e+02,3.307033480037630852e+03
1.290000000000000000e+02,3.338313348229200074e+03
1.300000000000000000e+02,3.369595504360988343e+03
1.310000000000000000e+02,3.400865181690222926e+03
1.320000000000000000e+02,3.432130922110298798e+03
1.330000000000000000e+02,3.463371809875050531e+03
1.340000000000000000e+02,3.494589214135112343e+03
1.350000000000000000e+02,3.525769647231092677e+03
1.360000000000000000e+02,3.556914478149897150e+03
1.370000000000000000e+02,3.588010219189725831e+03
1.380000000000000000e+02,3.619050811087142847e+03
1.390000000000000000e+02,3.650022766402791149e+03
1.400000000000000000e+02,3.680934883017953780e+03
1.410000000000000000e+02,3.711766245787070602e+03
1.420000000000000000e+02,3.742510796751512771e+03
1.430000000000000000e+02,3.773169906908788562e+03
1.440000000000000000e+02,3.803722662937316727e+03
1.450000000000000000e+02,3.834170437429061622e+03
1.460000000000000000e+02,3.864484890573297434e+03
1.470000000000000000e+02,3.894659968747158018e+03
1.480000000000000000e+02,3.924682191255671569e+03
1.490000000000000000e+02,3.954538078824109107e+03
1.500000000000000000e+02,3.984214153740035272e+03
1.510000000000000000e+02,4.013689316819438773e+03
1.520000000000000000e+02,4.042971404823126250e+03
1.530000000000000000e+02,4.072045776613139878e+03
1.540000000000000000e+02,4.100912649858640179e+03
1.550000000000000000e+02,4.129564816109587809e+03
1.560000000000000000e+02,4.158009925965068760e+03
1.570000000000000000e+02,4.186225919081517532e+03
1.580000000000000000e+02,4.214220451075620986e+03
1.590000000000000000e+02,4.241978895163764719e+03
1.600000000000000000e+02,4.269494055643704996e+03
1.610000000000000000e+02,4.296743882913236121e+03
1.620000000000000000e+02,4.323721186928716634e+03
1.630000000000000000e+02,4.350418780549630355e+03
1.640000000000000000e+02,4.376814622870280800e+03
1.650000000000000000e+02,4.402908960989972002e+03
1.660000000000000000e+02,4.428687188267241254e+03
1.670000000000000000e+02,4.454142129362474407e+03
1.680000000000000000e+02,4.479266611865927189e+03
