l,Nl
6.700000000000000000e+01,3.341915485561450188e-08
6.800000000000000000e+01,3.342035314660060538e-08
6.900000000000000000e+01,3.342163699698307364e-08
7.000000000000000000e+01,3.342300367875121611e-08
7.100000000000000000e+01,3.342445048169064341e-08
7.200000000000000000e+01,3.342597471060508531e-08
7.300000000000000000e+01,3.342757368245647666e-08
7.400000000000000000e+01,3.342924472448318097e-08
7.500000000000000000e+01,3.343098517588371994e-08
7.600000000000000000e+01,3.343279238992940592e-08
7.700000000000000000e+01,3.343466373712157125e-08
7.800000000000000000e+01,3.343659660626448100e-08
7.900000000000000000e+01,3.343858840620926138e-08
8.000000000000000000e+01,3.344063656723917578e-08
8.100000000000000000e+01,3.344273854249665025e-08
8.200000000000000000e+01,3.344489180949451932e-08
8.300000000000000000e+01,3.344709387132739556e-08
8.400000000000000000e+01,3.344934225862894436e-08
8.500000000000000000e+01,3.345163453118683825e-08
8.600000000000000000e+01,3.345396827984814433e-08
8.700000000000000000e+01,3.345634112752242300e-08
8.800000000000000000e+01,3.345875073148518772e-08
8.900000000000000000e+01,3.346119478537114564e-08
9.000000000000000000e+01,3.346367102111658308e-08
9.100000000000000000e+01,3.346617721251911414e-08
9.200000000000000000e+01,3.346871117725201770e-08
9.300000000000000000e+01,3.347127077941824027e-08
9.400000000000000000e+01,3.347385393195514901e-08
9.500000000000000000e+01,3.347645859821863551e-08
9.600000000000000000e+01,3.347908279452672271e-08
9.700000000000000000e+01,3.348172459213083549e-08
9.800000000000000000e+01,3.348438211938081029e-08
9.900000000000000000e+01,3.348705356405442103e-08
1.000000000000000000e+02,3.348973717516195630e-08
1.010000000000000000e+02,3.349243126402627903e-08
1.020000000000000000e+02,3.349513420623815571e-08
1.030000000000000000e+02,3.349784444570201004e-08
1.040000000000000000e+02,3.350056049219204090e-08
1.050000000000000000e+02,3.350328092734866646e-08
1.060000000000000000e+02,3.350600440433106191e-08
1.070000000000000000e+02,3.350872964951243642e-08
1.080000000000000000e+02,3.351145546216611475e-08
1.090000000000000000e+02,3.351418071805153726e-08
1.100000000000000000e+02,3.351690436908119730e-08
1.110000000000000000e+02,3.351962544674554616e-08
1.120000000000000000e+02,3.352234306178660740e-08
1.130000000000000000e+02,3.352505640397737113e-08
1.140000000000000000e+02,3.352776474547343721e-08
1.150000000000000000e+02,3.353046744230693651e-08
1.160000000000000000e+02,3.353316393245628178e-08
1.170000000000000000e+02,3.353585373734336457e-08
1.180000000000000000e+02,3.353853646493760012e-08
1.190000000000000000e+02,3.354121180790716545e-08
1.200000000000000000e+02,3.354387954503978461e-08
1.210000000000000000e+02,3.354653954105802921e-08
1.220000000000000000e+02,3.354919174799891007e-08
1.230000000000000000e+02,3.355183620504016930e-08
1.240000000000000000e+02,3.355447303835020991e-08
1.250000000000000000e+02,3.355710246242041904e-08
1.260000000000000000e+02,3.355972477847874143e-08
1.270000000000000000e+02,3.356234037581225522e-08
1.280000000000000000e+02,3.356494973026398624e-08
1.290000000000000000e+02,3.356755340553864236e-08
1.300000000000000000e+02,3.357015205177318589e-08
1.310000000000000000e+02,3.357274640682646764e-08
1.320000000000000000e+02,3.357533729492108907e-08
1.330000000000000000e+02,3.357792562533928915e-08
1.340000000000000000e+02,3.358051239373573291e-08
1.350000000000000000e+02,3.358309867838379236e-08
1.360000000000000000e+02,3.358568564275523820e-08
